Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PipeSTD2\Project Outputs for PipeSTD2\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       03/07/26
Time:       11:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"K1","SRD-12VDC-SL-C","TopLayer","RELAY_SRD-12VDC-SL-C","130.6830","78.5970","270","General Purpose Non Latching 12VDC SPDT Through Hole Relays RoHS"
"D2","SS14","TopLayer","FP-403AE-MFG","134.6200","90.4240","0","DIODE SCHOTTKY 40V 1A SMA"
"P8","bt reset","TopLayer","TE_282837-2","165.8620","94.2340","180","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"R12","10k","TopLayer","FP-AT0805-IPC_C","157.2660","96.7875","180","Thin Film Chip Resistors Automotive Grade 10kO 0.1% 50ppm/°C 0805"
"U2","ATMEGA328P-AU","TopLayer","QFP80P900X900X120-32N","142.2400","111.7600","0","MCU 8-bit - AVR ATmega Family ATmega328 Series Microcontrollers - 20 MHz - 32 KB - 2 KB - 32 Pins."
"P6","b3","TopLayer","TE_282837-2","135.0010","124.9680","180","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"P5","b2","TopLayer","TE_282837-2","145.2880","124.9680","180","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"P4","b1","TopLayer","TE_282837-2","155.7020","124.9680","180","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"Y1","CRISTAL 120","TopLayer","XTAL_FOXSDLF/160-20","130.1750","107.9500","270","Microprocessor, Crystal; 16 Mhz; + 30 Ppm @ Degc; 7 Pf (Max.); 20 Pf; -20 Deg"
"U1","L78M05CDT-TR","TopLayer","TO-252_L","164.3810","108.3310","0","Positive Voltage Regulator, 5V, 3-Pin DPAK, Tape and Reel"
"R11","1K","TopLayer","FP-TFCR0805-IPC_A","140.0162","102.9970","180","RES Thin Film,  1kO, 0.1%, 0.1W, 25ppm/°C, 0805"
"R10","100K","TopLayer","FP-CRGCQ0805-IPC_C","123.3029","97.4090","180","CRGCQ0805 100KO 0.125W ±100ppm/°C 5% 150V"
"R9","1K","TopLayer","FP-TFCR0805-IPC_A","129.3789","97.2820","0","RES Thin Film,  1kO, 0.1%, 0.1W, 25ppm/°C, 0805"
"R6","1K","TopLayer","FP-TFCR0805-IPC_A","172.5955","85.0252","90","RES Thin Film,  1kO, 0.1%, 0.1W, 25ppm/°C, 0805"
"R5","1K","TopLayer","FP-TFCR0805-IPC_A","163.2598","84.4550","0","RES Thin Film,  1kO, 0.1%, 0.1W, 25ppm/°C, 0805"
"R4","1K","TopLayer","FP-TFCR0805-IPC_A","153.4782","83.8200","0","RES Thin Film,  1kO, 0.1%, 0.1W, 25ppm/°C, 0805"
"R3","10k","TopLayer","FP-AT0805-MFG","149.0980","84.8020","270","Thin Film Chip Resistors Automotive Grade 10kO 0.5% 50ppm/°C 0805"
"R2","10k","TopLayer","FP-AT0805-MFG","159.1310","85.5050","270","Thin Film Chip Resistors Automotive Grade 10kO 0.5% 50ppm/°C 0805"
"R1","10k","TopLayer","FP-AT0805-MFG","168.7830","85.0560","270","Thin Film Chip Resistors Automotive Grade 10kO 0.5% 50ppm/°C 0805"
"Q4","DMN3404L-7","TopLayer","FP-SOT23-MFG","125.0950","91.1860","270","MOSFET N-CH 30V 5.8A SOT-23"
"Q3","NTD14N03RT4G","TopLayer","ONSC-DPAK-3-369C-01_V","148.4630","74.8470","270","Power MOSFET, 14 A, 25 V, N-Channel, 3-Pin DPAK, Pb-Free, Tape and Reel"
"Q2","NTD14N03RT4G","TopLayer","ONSC-DPAK-3-369C-01_V","158.2420","74.8470","270","Power MOSFET, 14 A, 25 V, N-Channel, 3-Pin DPAK, Pb-Free, Tape and Reel"
"Q1","NTD14N03RT4G","TopLayer","ONSC-DPAK-3-369C-01_V","168.1480","74.9740","270","Power MOSFET, 14 A, 25 V, N-Channel, 3-Pin DPAK, Pb-Free, Tape and Reel"
"P9","gravador","TopLayer","SMTC-MTSW-103-07-X-D-244","153.1620","105.6640","0","Modified .025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS"
"P3","LED PN","TopLayer","TE_282837-2","122.6820","124.9680","180","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"P2","RELE-2","TopLayer","TE_282837-2","129.7940","61.5950","180","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"P1","282837-2","TopLayer","TE_282837-2","167.8940","124.8410","0","Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V"
"J2","RF 433","TopLayer","SAMTEC_TSW-104-26-L-S","120.0150","113.0300","90","Connector Header Through Hole 4 position 0.100 (2.54mm)"
"J1","SAIDA LED RGB","TopLayer","CUI_TB004-508-04BE","157.6070","61.4680","180","2~24 Poles, Screw Type, Horizontal, 5.08 Pitch, 24~12 (AWG), Terminal Block Connector"
"D1","MBRS540T3G","TopLayer","DIOM7959X261N","167.1320","116.2050","0","Diode Schottky 40 V 5A Surface Mount SMC"
"C8","100NF 24V","TopLayer","CAPC2012X90N","135.7630","93.5990","0","Capacitor: ceramic; MLCC; 100nF; 25V; X7R; Â±10%; SMD; 0805"
"C7","22PF","TopLayer","CAPC2012X140N","125.3630","103.2510","180","Capacitor, Ceramic, Cap, 22.0pF, Tol 5%, SMT, 50V, C0G"
"C6","22PF","TopLayer","CAPC2012X140N","125.6170","112.4160","180","Capacitor, Ceramic, Cap, 22.0pF, Tol 5%, SMT, 50V, C0G"
"C5","100nf 50v","TopLayer","CAPC2012X88N","153.4020","111.3790","0","Capacitor, Ceramic, Cap, .100uF, Tol 10%, SMT, 50V, X7R, Tape/Reel"
"C4","10uf 16v","TopLayer","CAPC2012X88N","163.9710","101.0920","180","10 ÂµF Â±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C3","100uf 25v","TopLayer","CAPC2012X145N","158.2560","113.5380","180","10 ÂµF Â±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C2","100nf 50v","TopLayer","CAPC2012X140N","162.1700","103.3780","180","0805 C 10nF Ceramic Multilayer Capacitor, 50 V, +125degC, C0G Dielectric, +/-5%"
"C1","100nf 50v","TopLayer","CAPC2012X140N","158.2330","115.9510","0","0805 C 10nF Ceramic Multilayer Capacitor, 50 V, +125degC, C0G Dielectric, +/-5%"
